自定义品种名,合约名
IFB_Index,IF
KEE_Comdty,j
RBT_Comdty,rb
RT_Comdty,ru
CB_Comdty,SR
AE_Comdty,m
CU_Comdty,cu
PT_Comdty,TA
SAI_Comdty,ag
SH_Comdty,y
PAL_Comdty,p
ZME_Comdty,ME
ZNA_Comdty,zn
AUA_Comdty,au
AK_Comdty,a
POL_Comdty,l
VV_Comdty,CF
AC_Comdty,c
VN_Comdty,WH
FGL_Comdty,FG
PVC_Comdty,v
AA_Comdty,al
ZRO_Comdty,OI
ZRC_Comdty,RS
ZRR_Comdty,RM
IRI_Comdty,RI
PBL_Comdty,pb
FO_Comdty,fu
WRT_Comdty,wr
BP_Comdty,b
VOO_Comdty,PM
CKC_Comdty,jm
VO_Comdty,WT
TFC_Comdty,TF
IOE_Comdty,i
JR_Comdty,JR
TC_Comdty,TC
B_Comdty,b
BB_Comdty,bb
BU_Comdty,bu
FB_Comdty,fb
HC_Comdty,hc
JD_Comdty,jd
PP_Comdty,pp
MA_Comdty,MA
LR_Comdty,LR
SF_Comdty,SF
MS_Comdty,SM
CS_Comdty,cs
T_Comdty,T
NI_Comdty,ni
SN_Comdty,sn
IC_Index,IC
IHB_Index,IH
ZC_Comdty,ZC
CY_Comdty,CY
AP_Comdty,AP
SC_Comdty,sc
TS_Comdty,TS
SP_Comdty,sp
EG_Comdty,eg
CJ_Comdty,CJ
UR_Comdty,UR
NR_Comdty,nr
RR_Comdty,rr
SS_Comdty,ss
EB_Comdty,eb
SA_Comdty,SA
PG_Comdty,pg
LU_Comdty,lu
PF_Comdty,PF
BC_Comdty,bc
LH_Comdty,lh
PK_Comdty,PK
